,17:27421752-27422348,1:55076267-55076421,12:105431753-105432327,5:56224548-56225091,1:14925290-14925902,16:89299792-89300475,5:38962421-38963215,2:25456597-25457770,unmapped_reads,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq
sample290_S290_L001,0,0,5,0,0,0,0,3608,1780,3613,5393,5406
Aditee_KAZN_ZNF778ICTOR_wiz_138_S966_L001,0,0,0,0,8946,8841,1686,0,390,19473,19863,20014
Aditee_KAZN_ZNF778ICTOR_wiz_125_S953_L001,0,0,8,0,7945,7320,1534,0,390,16807,17197,17348
sample304_S304_L001,0,0,0,0,0,0,0,3359,1054,3359,4413,4416
sample216_S216_L001,0,0,1,0,0,0,0,6824,674,6825,7499,7516
sample59_S59_L001,0,0,0,0,0,0,0,9889,1026,9889,10915,10922
sample243_S243_L001,0,0,1,0,0,0,0,6429,720,6430,7150,7154
Aditee_KAZN_ZNF778ICTOR_wiz_39_S867_L001,0,0,0,2,6935,6772,2182,0,2756,15891,18647,18764
sample87_S87_L001,0,0,4,0,0,0,0,1096,604,1100,1704,1708
sample3_S3_L001,0,0,0,0,0,0,0,2825,1288,2825,4113,4118
Aditee_MYO18A_Fam151a_wiz_39_S483_L001,9961,0,0,0,0,0,0,0,4010,9961,13971,14036
Aditee_KAZN_ZNF778ICTOR_wiz_132_S960_L001,0,0,0,0,8387,8336,1412,2,636,18137,18773,18910
Aditee_MYO18A_Fam151a_wiz_73_S517_L001,9985,0,0,0,0,0,0,0,4378,9985,14363,14420
Aditee_ALDH1L2_Meir3_wiz_71_S707_L001,0,0,107,952,0,0,0,2,59906,1061,60967,60908
sample367_S367_L001,0,0,1,0,0,0,0,8904,912,8905,9817,9840
sample30_S30_L001,0,0,1,0,0,0,0,10825,1610,10826,12436,12452
sample422_S422_L001,0,0,0,0,0,0,0,1072,562,1072,1634,1638
Aditee_MYO18A_Fam151a_wiz_175_S617_L001,10349,0,1,0,0,0,0,0,4618,10350,14968,15022
Aditee_KAZN_ZNF778ICTOR_wiz_77_S905_L001,0,0,0,0,5882,6550,1468,1,28978,13901,42879,42958
Aditee_ALDH1L2_Meir3_wiz_146_S782_L001,0,0,168,980,0,0,0,0,1824,1148,2972,2906
sample435_S435_L001,8,0,0,0,0,0,0,6494,1184,6502,7686,7700
Aditee_MYO18A_Fam151a_wiz_141218_S631_L001,9369,0,0,0,0,0,0,1,22422,9370,31792,31858
Aditee_KAZN_ZNF778ICTOR_wiz_102_1_S930_L001,0,0,0,0,8067,8092,1620,0,758,17779,18537,18656
sample360_S360_L001,20,0,0,2,0,0,0,12,864,34,898,898
Aditee_ALDH1L2_Meir3_wiz_73_S709_L001,0,0,131,727,0,0,0,3,10884,861,11745,11686
Aditee_ALDH1L2_Meir3_wiz_49_S685_L001,0,0,95,949,3,0,0,4,38184,1051,39235,39188
sample92_S92_L001,0,0,8,0,0,0,0,6272,632,6280,6912,6928
sample33_S33_L001,0,0,0,0,0,0,0,6092,590,6092,6682,6690
Aditee_KAZN_ZNF778ICTOR_wiz_24_S852_L001,0,0,0,0,8313,8068,1438,0,712,17819,18531,18642
sample247_S247_L001,0,0,9,0,0,0,0,16743,1134,16752,17886,17916
Aditee_MYO18A_Fam151a_wiz_88_S532_L001,11329,0,0,0,0,0,0,5,52764,11334,64098,64164
Aditee_MYO18A_Fam151a_wiz_162_S606_L001,8789,0,1,0,0,0,0,10,16736,8800,25536,25610
sample220_S220_L001,0,0,1,0,0,0,0,12846,1172,12847,14019,14040
sample208_S208_L001,0,0,2,0,0,0,0,1540,902,1542,2444,2448
Aditee_MYO18A_Fam151a_wiz_131_S575_L001,9953,0,0,0,0,1,0,2,37800,9956,47756,47814
Aditee_KAZN_ZNF778ICTOR_wiz_173_S999_L001,0,0,0,0,20,7,2,0,4232,29,4261,4262
Aditee_ALDH1L2_Meir3_wiz_131_S767_L001,0,0,98,967,0,0,0,2,1186,1067,2253,2226
sample254_S254_L001,0,0,41,0,0,0,0,2601,676,2642,3318,3368
Aditee_KAZN_ZNF778ICTOR_wiz_182_S1008_L001,0,0,0,0,4,0,0,0,4662,4,4666,4666
Aditee_MYO18A_Fam151a_wiz_71_S515_L001,8820,0,0,0,0,0,0,2,4160,8822,12982,13040
sample204_S204_L001,0,0,34,0,0,0,0,3951,704,3985,4689,4728
sample82_S82_L001,0,0,0,0,0,0,0,1821,512,1821,2333,2336
sample381_S381_L001,2,0,2,2,0,0,0,3379,856,3385,4241,4246
Aditee_MYO18A_Fam151a_wiz_134_S578_L001,6935,0,0,0,0,1,0,0,59390,6936,66326,66364
Aditee_MYO18A_Fam151a_wiz_168_S610_L001,2,0,0,0,0,0,0,6,72380,8,72388,72394
Aditee_KAZN_ZNF778ICTOR_wiz_153_S981_L001,0,0,0,0,8534,9013,1587,0,528,19134,19662,19790
Aditee_ALDH1L2_Meir3_wiz_132_S768_L001,0,0,148,1066,0,0,0,1,38066,1215,39281,39220
sample322_S322_L001,0,0,1,0,0,0,0,1653,970,1654,2624,2628
sample284_S284_L001,0,0,2,0,0,0,0,4713,670,4715,5385,5400
sample197_S197_L001,0,0,1,0,0,0,0,10150,1132,10151,11283,11296
Aditee_KAZN_ZNF778ICTOR_wiz_61_S889_L001,0,0,0,0,8767,8516,1416,0,1274,18699,19973,20076
Aditee_ALDH1L2_Meir3_wiz_9_1_S645_L001,0,0,63,1118,0,0,0,0,1210,1181,2391,2358
sample245_S245_L001,0,0,1,0,0,0,0,8941,548,8942,9490,9498
Aditee_MYO18A_Fam151a_wiz_137_S581_L001,9471,0,0,0,2,1,0,0,59138,9474,68612,68676
Aditee_KAZN_ZNF778ICTOR_wiz_148_S976_L001,0,0,0,0,10098,8987,1920,0,708,21005,21713,21850
Aditee_MYO18A_Fam151a_wiz_14_S458_L001,11104,0,0,0,0,0,0,0,5226,11104,16330,16406
Aditee_KAZN_ZNF778ICTOR_wiz_111_S939_L001,0,0,0,0,5693,6023,1382,0,598,13098,13696,13772
sample163_S163_L001,0,0,1,0,0,0,0,6665,656,6666,7322,7328
Aditee_MYO18A_Fam151a_wiz_76_1_S520_L001,8822,0,0,0,0,0,0,0,3978,8822,12800,12854
Aditee_MYO18A_Fam151a_wiz_115_S559_L001,9069,0,0,0,3,0,0,1,71742,9073,80815,80884
Aditee_MYO18A_Fam151a_wiz_139_1_S583_L001,8523,0,0,0,0,0,0,2,71152,8525,79677,79726
sample108_S108_L001,0,0,4,0,0,0,0,3519,670,3523,4193,4204
sample270_S270_L001,0,0,10,0,0,0,0,5938,840,5948,6788,6812
Aditee_MYO18A_Fam151a_wiz_23_S467_L001,13,0,0,0,0,0,0,0,454,13,467,468
Aditee_MYO18A_Fam151a_wiz_141430_S634_L001,9360,0,0,0,3,0,0,4,70834,9367,80201,80260
Aditee_MYO18A_Fam151a_wiz_20_S464_L001,10998,0,0,0,0,0,0,1,5946,10999,16945,17012
Aditee_MYO18A_Fam151a_wiz_98_1_S542_L001,5673,0,0,0,0,0,0,0,852,5673,6525,6548
Aditee_ALDH1L2_Meir3_wiz_70_S706_L001,0,0,94,1227,0,0,0,2,26040,1323,27363,27328
sample37_S37_L001,0,0,3,0,0,0,0,3669,856,3672,4528,4544
Aditee_MYO18A_Fam151a_wiz_197_S613_L001,9300,0,0,0,0,0,0,0,4764,9300,14064,14116
sample411_S411_L001,0,0,0,0,0,0,0,2,416,2,418,418
Aditee_MYO18A_Fam151a_wiz_118_S562_L001,8955,0,2,0,3,2,0,0,4024,8962,12986,13030
Aditee_MYO18A_Fam151a_wiz_57_S501_L001,10805,0,1,0,0,0,0,2,19020,10808,29828,29888
Aditee_ALDH1L2_Meir3_wiz_138_S774_L001,0,0,244,955,0,0,0,0,14806,1199,16005,15892
sample357_S357_L001,0,0,2,0,0,0,0,1017,1148,1019,2167,2170
sample158_S158_L001,0,0,3,0,0,0,0,1294,938,1297,2235,2240
sample309_S309_L001,0,0,2,0,0,0,0,2888,398,2890,3288,3296
Aditee_MYO18A_Fam151a_wiz_177_S619_L001,6150,0,0,0,2,1,0,0,3082,6153,9235,9286
sample58_S58_L001,0,0,10,0,0,0,0,5860,904,5870,6774,6796
Aditee_MYO18A_Fam151a_wiz_124_S568_L001,9274,0,0,0,0,0,0,0,4250,9274,13524,13580
Aditee_MYO18A_Fam151a_wiz_149_S593_L001,8928,0,0,0,2,0,0,0,4566,8930,13496,13560
Aditee_ALDH1L2_Meir3_wiz_39_S675_L001,0,0,75,374,0,0,0,0,1436,449,1885,1864
Aditee_ALDH1L2_Meir3_wiz_160303_S822_L001,0,0,22,836,0,0,0,2,1040,860,1900,1902
sample28_S28_L001,0,0,20,0,0,0,0,5202,1108,5222,6330,6364
Aditee_MYO18A_Fam151a_wiz_54_1_S498_L001,9897,0,26,0,0,0,0,0,67608,9923,77531,77612
Aditee_MYO18A_Fam151a_wiz_28_S472_L001,11391,0,0,0,0,0,0,0,34126,11391,45517,45594
Aditee_KAZN_ZNF778ICTOR_wiz_54_1_S882_L001,0,0,0,0,5681,5763,1067,0,52704,12511,65215,65312
Aditee_ALDH1L2_Meir3_wiz_5_S641_L001,0,0,116,519,0,0,0,0,1248,635,1883,1838
sample210_S210_L001,0,0,5,0,0,0,0,3369,498,3374,3872,3880
Aditee_KAZN_ZNF778ICTOR_wiz_104_S932_L001,0,0,0,0,127,32,5,0,26,164,190,192
Aditee_ALDH1L2_Meir3_wiz_179_S813_L001,0,0,186,1042,0,0,0,1,688,1229,1917,1846
sample408_S408_L001,0,0,2,0,0,0,0,3409,1906,3411,5317,5324
sample298_S298_L001,0,0,3,0,0,0,0,3114,414,3117,3531,3536
Aditee_ALDH1L2_Meir3_wiz_66_S702_L001,0,0,85,592,0,0,0,0,1138,677,1815,1790
Aditee_ALDH1L2_Meir3_wiz_125_S761_L001,0,0,216,988,0,0,0,0,1302,1204,2506,2410
Aditee_ALDH1L2_Meir3_wiz_141_S777_L001,0,0,143,730,0,0,0,0,878,873,1751,1690
sample145_S145_L001,0,0,0,0,0,0,0,1799,620,1799,2419,2420
Aditee_ALDH1L2_Meir3_wiz_17_S653_L001,0,0,78,675,1,0,0,3,51496,757,52253,52216
sample268_S268_L001,0,0,54,0,0,0,0,5693,962,5747,6709,6772
sample250_S250_L001,0,0,19,0,0,0,0,11553,724,11572,12296,12340
Aditee_MYO18A_Fam151a_wiz_77_S521_L001,9857,0,0,0,0,0,0,0,4534,9857,14391,14452
Aditee_MYO18A_Fam151a_wiz_121_S565_L001,8541,0,0,0,0,0,0,0,4330,8541,12871,12936
Aditee_MYO18A_Fam151a_wiz_133_S577_L001,7301,0,0,0,0,0,0,0,43018,7301,50319,50368
sample154_S154_L001,0,0,0,0,0,0,0,3173,730,3173,3903,3904
Aditee_KAZN_ZNF778ICTOR_wiz_196_1_S992_L001,0,0,0,0,6386,6220,1168,0,794,13774,14568,14654
Aditee_KAZN_ZNF778ICTOR_wiz_86_S914_L001,0,0,0,0,6992,6676,789,1,1034,14458,15492,15584
Aditee_KAZN_ZNF778ICTOR_wiz_168_S994_L001,0,0,0,0,2,1,0,0,2580,3,2583,2584
Aditee_MYO18A_Fam151a_wiz_45_S489_L001,10657,0,0,0,0,0,0,0,4848,10657,15505,15574
sample248_S248_L001,0,0,46,0,0,0,0,7100,858,7146,8004,8062
sample78_S78_L001,0,0,1,0,0,0,0,6567,978,6568,7546,7558
sample375_S375_L001,0,0,2,0,2,0,0,772,882,776,1658,1662
Aditee_MYO18A_Fam151a_wiz_53_S497_L001,11673,0,3,0,0,0,0,6,50160,11682,61842,61914
sample34_S34_L001,0,0,0,0,0,0,0,12442,880,12442,13322,13350
sample65_S65_L001,0,0,6,0,1,0,0,10619,1020,10626,11646,11672
Aditee_MYO18A_Fam151a_wiz_159_S603_L001,8470,0,0,0,1,0,0,7,98588,8478,107066,107134
sample146_S146_L001,0,0,1,0,0,0,0,5706,524,5707,6231,6244
Aditee_ALDH1L2_Meir3_wiz_104_S740_L001,0,0,182,1571,0,0,0,4,914,1757,2671,2566
sample213_S213_L001,0,0,1,0,0,0,0,3805,700,3806,4506,4516
Aditee_KAZN_ZNF778ICTOR_wiz_147_S975_L001,0,0,0,0,7362,7224,1528,0,836,16114,16950,17036
Aditee_KAZN_ZNF778ICTOR_wiz_128_S956_L001,0,0,0,0,7969,7972,1261,0,706,17202,17908,18020
Aditee_MYO18A_Fam151a_wiz_106_S550_L001,8327,0,0,0,0,0,0,1,21984,8328,30312,30374
sample227_S227_L001,0,0,0,0,0,0,0,5286,1034,5286,6320,6332
sample131_S131_L001,0,0,2,0,0,0,0,1305,1044,1307,2351,2356
sample384_S384_L001,0,0,0,0,1,0,0,148,912,149,1061,1062
Aditee_KAZN_ZNF778ICTOR_wiz_83_S911_L001,0,0,0,4,5959,5931,1083,0,1644,12977,14621,14708
Aditee_MYO18A_Fam151a_wiz_42_S486_L001,9080,0,2,0,0,0,0,3,5072,9085,14157,14222
Aditee_ALDH1L2_Meir3_wiz_10_S646_L001,0,0,45,271,0,0,0,0,1070,316,1386,1368
Aditee_ALDH1L2_Meir3_wiz_24_S660_L001,0,0,99,530,0,0,0,0,56584,629,57213,57176
sample139_S139_L001,0,0,0,0,0,0,0,4897,734,4897,5631,5636
Aditee_KAZN_ZNF778ICTOR_wiz_157_S985_L001,0,0,0,0,8722,8127,1334,0,656,18183,18839,18950
sample232_S232_L001,0,0,18,0,0,0,0,3133,826,3151,3977,4002
Aditee_KAZN_ZNF778ICTOR_wiz_101_S929_L001,0,0,0,0,8236,7378,2371,0,860,17985,18845,18982
sample64_S64_L001,2,0,3,0,0,0,0,11063,546,11068,11614,11642
sample410_S410_L001,0,0,2,0,0,0,0,1701,838,1703,2541,2550
sample123_S123_L001,0,0,7,0,0,2,0,1047,470,1056,1526,1534
Aditee_MYO18A_Fam151a_wiz_167_S609_L001,52,0,0,0,2,0,0,0,28310,54,28364,28364
Aditee_KAZN_ZNF778ICTOR_wiz_78_S906_L001,0,0,0,0,9570,8177,1632,0,1490,19379,20869,21002
Aditee_ALDH1L2_Meir3_wiz_99_S735_L001,0,0,110,1111,0,0,0,6,908,1227,2135,2084
sample74_S74_L001,0,0,0,0,0,0,0,978,684,978,1662,1666
Aditee_ALDH1L2_Meir3_wiz_137_S773_L001,0,0,206,1041,0,0,0,0,1122,1247,2369,2276
Aditee_KAZN_ZNF778ICTOR_wiz_109_S937_L001,2,0,0,0,0,0,0,0,5336,2,5338,5338
Aditee_KAZN_ZNF778ICTOR_wiz_169_S995_L001,0,0,0,0,7553,7453,1156,0,602,16162,16764,16884
sample343_S343_L001,0,0,0,0,0,0,0,3013,992,3013,4005,4008
sample149_S149_L001,0,0,1,0,0,0,0,5800,724,5801,6525,6538
sample100_S100_L001,0,0,0,0,0,0,0,3219,754,3219,3973,3980
sample344_S344_L001,0,0,2,0,0,0,0,1151,852,1153,2005,2008
Aditee_MYO18A_Fam151a_wiz_31_S475_L001,8673,0,0,0,0,0,0,8,23124,8681,31805,31866
Aditee_ALDH1L2_Meir3_wiz_176_S810_L001,0,0,107,1455,0,0,0,2,23778,1564,25342,25306
Aditee_ALDH1L2_Meir3_wiz_207_1_S821_L001,0,0,0,16,0,0,0,2,376,18,394,394
sample320_S320_L001,0,0,0,0,0,0,0,4,694,4,698,698
sample70_S70_L001,0,0,3,0,0,0,0,6307,1074,6310,7384,7392
sample345_S345_L001,0,0,4,0,0,0,0,1918,474,1922,2396,2402
Aditee_KAZN_ZNF778ICTOR_wiz_73_S901_L001,1,0,0,0,9766,9374,1811,0,1524,20952,22476,22606
Aditee_ALDH1L2_Meir3_wiz_28_S664_L001,0,0,73,1242,0,0,0,0,39310,1315,40625,40606
Aditee_MYO18A_Fam151a_wiz_38_S482_L001,10368,0,0,0,0,0,0,1,42808,10369,53177,53242
Aditee_KAZN_ZNF778ICTOR_wiz_13_S841_L001,0,0,0,4,9033,8526,1549,0,23190,19112,42302,42438
Aditee_ALDH1L2_Meir3_wiz_13_S649_L001,0,0,142,688,0,0,0,0,1022,830,1852,1788
Aditee_MYO18A_Fam151a_wiz_22_S466_L001,9579,0,0,0,0,0,0,0,4844,9579,14423,14484
Aditee_MYO18A_Fam151a_wiz_85_S529_L001,11787,0,0,0,0,0,0,4,52402,11791,64193,64262
sample263_S263_L001,0,0,2,0,0,0,0,2580,582,2582,3164,3170
Aditee_KAZN_ZNF778ICTOR_wiz_12_S840_L001,0,0,0,0,9118,9323,1672,0,1546,20113,21659,21814
Aditee_MYO18A_Fam151a_wiz_49_S493_L001,9527,0,0,0,0,0,0,2,4578,9529,14107,14156
Aditee_MYO18A_Fam151a_wiz_72_S516_L001,9757,0,0,0,0,0,0,0,4278,9757,14035,14080
sample8_S8_L001,0,0,0,0,0,0,2,3260,604,3262,3866,3874
Aditee_MYO18A_Fam151a_wiz_40_S484_L001,8143,0,0,0,0,0,0,0,4048,8143,12191,12236
Aditee_KAZN_ZNF778ICTOR_wiz_175_S1001_L001,0,0,0,0,8617,8580,1647,0,532,18844,19376,19530
Aditee_KAZN_ZNF778ICTOR_wiz_60_1_S888_L001,0,0,0,0,10229,9359,2079,0,25514,21667,47181,47342
Aditee_ALDH1L2_Meir3_wiz_72_S708_L001,0,0,76,758,1,0,0,0,15632,835,16467,16432
sample161_S161_L001,0,0,7,0,1,0,0,5652,520,5660,6180,6200
sample67_S67_L001,0,0,1,0,0,0,0,7733,1220,7734,8954,8968
sample377_S377_L001,0,0,0,0,0,0,0,1331,654,1331,1985,1988
sample259_S259_L001,0,0,6,0,0,0,0,14282,860,14288,15148,15176
sample399_S399_L001,0,0,1,0,0,0,0,3441,930,3442,4372,4382
Aditee_ALDH1L2_Meir3_wiz_115_S751_L001,0,0,153,1016,0,0,0,6,1286,1175,2461,2404
sample289_S289_L001,0,0,5,0,0,0,0,3252,854,3257,4111,4122
Aditee_MYO18A_Fam151a_wiz_156_S600_L001,9134,0,0,0,0,0,0,0,4340,9134,13474,13520
Aditee_MYO18A_Fam151a_wiz_21_S465_L001,7689,0,0,0,0,0,0,0,3504,7689,11193,11240
Aditee_ALDH1L2_Meir3_wiz_136_S772_L001,0,0,115,1425,0,0,0,2,760,1542,2302,2258
Aditee_ALDH1L2_Meir3_wiz_36_S672_L001,0,0,82,533,0,0,0,0,1492,615,2107,2074
sample24_S24_L001,0,0,1,0,0,0,0,3229,640,3230,3870,3876
sample400_S400_L001,0,0,0,0,0,0,0,17766,836,17766,18602,18628
Aditee_KAZN_ZNF778ICTOR_wiz_98_1_S926_L001,0,0,0,4,6300,7116,1381,0,458,14801,15259,15386
Aditee_MYO18A_Fam151a_wiz_89_S533_L001,9586,0,2,0,0,0,0,0,67936,9588,77524,77584
sample443_S443_L001,0,0,0,6,0,0,0,3572,944,3578,4522,4530
Aditee_ALDH1L2_Meir3_wiz_170_S804_L001,0,0,106,759,0,0,0,3,914,868,1782,1742
sample106_S106_L001,0,0,0,0,0,0,0,4936,1012,4936,5948,5956
Aditee_KAZN_ZNF778ICTOR_wiz_123_S951_L001,0,0,0,0,6031,6508,1379,0,932,13918,14850,14934
Aditee_ALDH1L2_Meir3_wiz_198_S806_L001,0,0,175,1617,0,30,0,0,1908,1822,3730,3656
sample96_S96_L001,0,0,5,0,0,0,0,9669,1104,9674,10778,10798
sample93_S93_L001,0,0,5,0,0,0,0,7950,722,7955,8677,8700
sample303_S303_L001,0,0,4,0,0,0,0,718,940,722,1662,1668
Aditee_MYO18A_Fam151a_wiz_1_S445_L001,8405,0,0,0,0,0,0,5,43228,8410,51638,51694
sample83_S83_L001,0,0,0,0,0,0,0,8575,1262,8575,9837,9854
sample13_S13_L001,0,0,0,0,0,0,0,1411,610,1411,2021,2024
Aditee_KAZN_ZNF778ICTOR_wiz_152_S980_L001,0,0,0,0,58,2,2,0,2662,62,2724,2724
sample4_S4_L001,0,0,2,0,0,0,0,11047,1542,11049,12591,12612
sample391_S391_L001,0,0,3,0,0,0,0,4987,770,4990,5760,5770
sample302_S302_L001,0,0,3,0,0,0,0,657,554,660,1214,1218
Aditee_MYO18A_Fam151a_wiz_60_1_S504_L001,10977,0,0,0,0,0,0,1,95304,10978,106282,106342
sample350_S350_L001,0,0,0,0,0,0,0,86,814,86,900,902
sample32_S32_L001,0,0,4,2,0,0,0,8400,890,8406,9296,9318
Aditee_MYO18A_Fam151a_wiz_101_S545_L001,9571,0,0,0,1,0,0,0,4524,9572,14096,14166
Aditee_ALDH1L2_Meir3_wiz_21_S657_L001,0,0,101,623,0,0,0,2,11074,726,11800,11756
sample330_S330_L001,0,0,2,0,0,0,0,3663,472,3665,4137,4142
Aditee_MYO18A_Fam151a_wiz_128_S572_L001,7938,0,1,0,0,0,0,0,4034,7939,11973,12034
sample128_S128_L001,0,0,4,0,0,0,0,19599,890,19603,20493,20526
sample99_S99_L001,0,0,1,0,1,0,0,25,934,27,961,964
sample107_S107_L001,0,0,0,0,0,0,0,2133,560,2133,2693,2696
Aditee_KAZN_ZNF778ICTOR_wiz_41_S869_L001,0,0,0,0,9099,8875,1622,0,1678,19596,21274,21410
sample15_S15_L001,0,0,0,0,0,0,0,608,724,608,1332,1336
Aditee_ALDH1L2_Meir3_wiz_94_S730_L001,0,0,45,367,0,0,0,0,636,412,1048,1026
sample77_S77_L001,0,0,8,0,0,0,0,11087,1310,11095,12405,12434
Aditee_MYO18A_Fam151a_wiz_18_S462_L001,9503,0,0,0,0,0,0,0,4586,9503,14089,14148
sample221_S221_L001,0,0,1,0,0,0,0,8485,714,8486,9200,9218
Aditee_ALDH1L2_Meir3_wiz_20_S656_L001,2,0,59,440,0,0,0,1,43152,502,43654,43626
sample351_S351_L001,0,0,0,0,0,0,0,51337,690,51337,52027,52104
sample114_S114_L001,0,0,0,0,0,0,0,3332,692,3332,4024,4030
sample182_S182_L001,0,0,4,0,0,0,0,2678,796,2682,3478,3488
Aditee_ALDH1L2_Meir3_wiz_199_S815_L001,0,0,119,905,0,0,0,2,1172,1026,2198,2156
sample75_S75_L001,0,0,2,0,0,0,0,7760,876,7762,8638,8656
Aditee_KAZN_ZNF778ICTOR_wiz_143_1_S971_L001,0,0,0,0,8741,7930,1356,0,740,18027,18767,18896
Aditee_ALDH1L2_Meir3_wiz_53_S689_L001,0,0,117,988,0,0,0,2,64434,1107,65541,65482
Aditee_MYO18A_Fam151a_wiz_48_S492_L001,8179,0,0,0,0,0,0,0,4018,8179,12197,12240
Aditee_ALDH1L2_Meir3_wiz_93_S729_L001,0,0,141,692,0,0,0,0,818,833,1651,1572
sample317_S317_L001,0,0,4,0,0,0,0,5773,1122,5777,6899,6912
Aditee_KAZN_ZNF778ICTOR_wiz_36_S864_L001,0,0,0,0,6713,6533,1750,0,2362,14996,17358,17446
sample104_S104_L001,0,0,2,0,0,0,0,11879,1044,11881,12925,12940
sample194_S194_L001,0,0,29,0,0,0,0,4243,704,4272,4976,5008
Aditee_KAZN_ZNF778ICTOR_wiz_1_S829_L001,0,0,0,0,7087,7265,1267,2,7900,15621,23521,23634
sample135_S135_L001,0,0,7,0,0,0,0,4487,1360,4494,5854,5868
Aditee_KAZN_ZNF778ICTOR_wiz_66_S894_L001,0,0,0,0,7967,7918,1351,0,1664,17236,18900,19006
sample29_S29_L001,0,0,0,0,0,0,0,10473,776,10473,11249,11270
Aditee_ALDH1L2_Meir3_wiz_169_S803_L001,0,0,129,939,0,0,0,0,958,1068,2026,1978
sample125_S125_L001,0,0,3,0,0,0,0,2776,756,2779,3535,3546
Aditee_ALDH1L2_Meir3_wiz_159_S795_L001,0,0,168,2051,0,0,0,3,1314,2222,3536,3460
sample44_S44_L001,0,0,0,0,0,0,0,11314,788,11314,12102,12122
Aditee_MYO18A_Fam151a_wiz_198_S614_L001,9794,0,0,0,0,0,0,0,4594,9794,14388,14448
Aditee_ALDH1L2_Meir3_wiz_87_S723_L001,0,0,79,1090,0,0,0,1,964,1170,2134,2108
Aditee_MYO18A_Fam151a_wiz_150_S594_L001,6513,0,0,0,0,0,0,0,3258,6513,9771,9824
Aditee_ALDH1L2_Meir3_wiz_119_S755_L001,0,0,148,770,0,0,0,2,974,920,1894,1842
Aditee_MYO18A_Fam151a_wiz_26_S470_L001,8738,0,0,0,0,0,0,0,4072,8738,12810,12870
Aditee_KAZN_ZNF778ICTOR_wiz_93_S921_L001,0,0,0,0,8698,7796,1554,1,1282,18049,19331,19446
Aditee_MYO18A_Fam151a_wiz_97_1_S541_L001,6922,0,1,0,0,0,0,0,3580,6923,10503,10548
sample374_S374_L001,0,0,0,0,0,0,0,2838,622,2838,3460,3464
sample38_S38_L001,0,0,2,0,0,0,0,3003,432,3005,3437,3446
sample156_S156_L001,0,0,7,0,0,0,0,6031,370,6038,6408,6428
Aditee_ALDH1L2_Meir3_wiz_4_S640_L001,0,0,102,626,2,0,0,0,1172,730,1902,1854
Aditee_KAZN_ZNF778ICTOR_wiz_30_S858_L001,0,0,2,0,9266,8489,1332,0,15026,19089,34115,34258
Aditee_ALDH1L2_Meir3_wiz_118_S754_L001,0,0,211,1025,0,0,0,4,26264,1240,27504,27406
sample371_S371_L001,0,0,1,0,0,0,0,2113,568,2114,2682,2688
Aditee_KAZN_ZNF778ICTOR_wiz_117_S945_L001,0,0,0,0,9452,9370,1800,0,620,20622,21242,21410
Aditee_MYO18A_Fam151a_wiz_81_S525_L001,7740,0,0,0,0,0,0,3,95244,7743,102987,103034
Aditee_KAZN_ZNF778ICTOR_wiz_180_S1006_L001,0,0,0,0,730,1587,746,0,762,3063,3825,3838
sample395_S395_L001,0,0,1,0,0,0,0,1971,726,1972,2698,2700
sample310_S310_L001,0,0,1,0,0,0,0,5677,636,5678,6314,6320
Aditee_ALDH1L2_Meir3_wiz_31_S667_L001,0,0,116,523,0,0,0,0,1126,639,1765,1712
Aditee_ALDH1L2_Meir3_wiz_157_S793_L001,0,0,248,1372,0,0,0,0,1510,1620,3130,3038
Aditee_ALDH1L2_Meir3_wiz_52_S688_L001,0,0,84,843,0,0,0,3,50608,930,51538,51498
Aditee_ALDH1L2_Meir3_wiz_84_S720_L001,0,0,116,898,0,0,0,0,1456,1014,2470,2420
sample101_S101_L001,0,0,1,0,0,0,0,8725,754,8726,9480,9494
sample71_S71_L001,0,0,1,0,0,0,0,8,738,9,747,750
sample120_S120_L001,0,0,1,0,1,0,0,833,360,835,1195,1198
Aditee_ALDH1L2_Meir3_wiz_96_S732_L001,0,0,0,4,0,0,0,0,23356,4,23360,23362
Aditee_MYO18A_Fam151a_wiz_102_1_S546_L001,8964,0,0,0,0,0,0,0,4266,8964,13230,13296
Aditee_MYO18A_Fam151a_wiz_75_S519_L001,10608,0,0,0,0,0,0,2,4644,10610,15254,15312
Aditee_MYO18A_Fam151a_wiz_161_S605_L001,6288,0,0,0,3,0,0,2,14094,6293,20387,20428
Aditee_ALDH1L2_Meir3_wiz_55_S691_L001,0,0,54,368,1,0,0,0,1472,423,1895,1868
sample237_S237_L001,0,0,2,0,0,0,0,8203,914,8205,9119,9130
Aditee_KAZN_ZNF778ICTOR_wiz_141210_S1017_L001,0,0,0,0,10395,9121,1445,0,310,20961,21271,21420
Aditee_ALDH1L2_Meir3_wiz_97_1_S733_L001,0,0,56,446,0,0,0,3,664,505,1169,1150
Aditee_MYO18A_Fam151a_wiz_174_S616_L001,142,0,0,0,0,0,0,0,710,142,852,852
sample366_S366_L001,0,0,0,0,0,0,0,2,1126,2,1128,1128
sample283_S283_L001,0,0,3,0,0,0,0,4769,1054,4772,5826,5838
sample85_S85_L001,0,0,5,0,0,0,0,3576,928,3581,4509,4518
sample10_S10_L001,0,0,10,0,0,0,0,9048,1140,9058,10198,10224
sample84_S84_L001,0,0,2,0,0,0,0,19087,1088,19089,20177,20216
Aditee_KAZN_ZNF778ICTOR_wiz_94_S922_L001,0,0,2,0,7309,6295,1484,0,1592,15090,16682,16792
